Date,AAPL
11/05/2001,-0.129463596
14/05/2001,0.409043223
15/05/2001,-0.105635896
16/05/2001,0.944652026
17/05/2001,-0.541326662
18/05/2001,-0.020336747
21/05/2001,0.033596131
22/05/2001,-0.07395302
23/05/2001,-0.36636461
24/05/2001,-0.042867224
25/05/2001,-0.697773983
29/05/2001,-2.124157902
30/05/2001,-2.49190986
31/05/2001,0.208353452
01/06/2001,1.200746924
04/06/2001,-0.269760543
05/06/2001,0.348193678
06/06/2001,-0.273607588
07/06/2001,1.264028254
08/06/2001,-0.422292444
11/06/2001,-1.716124843
12/06/2001,0.324975987
13/06/2001,0.200660454
14/06/2001,-0.802039109
15/06/2001,0.750269355
18/06/2001,-0.144553054
19/06/2001,-0.200188
20/06/2001,2.197921006
21/06/2001,0.955343654
22/06/2001,-0.255081614
25/06/2001,1.975956766
26/06/2001,-0.225470946
27/06/2001,-0.417255792
28/06/2001,0.212450387
29/06/2001,-0.330427544
02/07/2001,0.773420972
03/07/2001,-0.069697557
05/07/2001,-0.838432121
06/07/2001,-1.525275707
09/07/2001,0.798550098
10/07/2001,-1.869832593
11/07/2001,1.448442383
12/07/2001,1.587965225
13/07/2001,0.362407076
16/07/2001,-0.695145566
17/07/2001,0.885362385
18/07/2001,-3.494537078
19/07/2001,-0.544951038
20/07/2001,0.013678394
23/07/2001,-0.335248378
24/07/2001,-0.368845342
25/07/2001,-0.54694424
26/07/2001,0.109454863
27/07/2001,0.362070773
30/07/2001,-0.030476488
31/07/2001,-0.157150097
01/08/2001,0.326031473
02/08/2001,0.940834634
03/08/2001,-0.378578085
06/08/2001,-0.465602917
07/08/2001,0.156841502
08/08/2001,-0.496824908
09/08/2001,0.2199292
10/08/2001,-0.046890273
13/08/2001,0.119925569
14/08/2001,-0.674637477
15/08/2001,-0.554144737
16/08/2001,0.409836149
17/08/2001,-1.189518659
20/08/2001,0.097337155
21/08/2001,-0.425809229
22/08/2001,0.639213964
23/08/2001,-0.890700726
24/08/2001,1.630735885
27/08/2001,0.645045385
28/08/2001,-0.968803333
29/08/2001,-1.053480461
30/08/2001,0
31/08/2001,1.394941321
04/09/2001,-0.523638356
05/09/2001,0.535971956
06/09/2001,-1.537524257
07/09/2001,-0.756208141
10/09/2001,0.154815656
17/09/2001,-0.711854238
18/09/2001,-1.369762488
19/09/2001,1.304179743
20/09/2001,-2.218107064
21/09/2001,0.07112734
24/09/2001,1.093307677
25/09/2001,-1.317001355
26/09/2001,-0.541422091
27/09/2001,0.510756524
28/09/2001,0
01/10/2001,0.047635176
02/10/2001,-0.866579009
03/10/2001,-0.123096865
04/10/2001,1.671441455
05/10/2001,0.409800535
08/10/2001,0.097410197
09/10/2001,-0.355160731
10/10/2001,1.498157322
11/10/2001,1.436239278
12/10/2001,0.369379612
15/10/2001,-0.028425971
16/10/2001,0.031282613
17/10/2001,-1.805938275
18/10/2001,1.550210935
19/10/2001,0.39670522
22/10/2001,0.96524373
23/10/2001,-1.141633536
24/10/2001,0.991105307
25/10/2001,0.274151381
26/10/2001,-0.634886953
29/10/2001,-1.334895902
30/10/2001,-0.036430289
31/10/2001,-0.05350348
01/11/2001,1.469155813
02/11/2001,-0.025068297
05/11/2001,0.680877356
06/11/2001,0.664132979
07/11/2001,0.026301758
08/11/2001,-1.303054
09/11/2001,0
12/11/2001,0.061719844
13/11/2001,1.02921111
14/11/2001,0.372211417
15/11/2001,-0.259000643
16/11/2001,-0.8399444
19/11/2001,1.741382677
20/11/2001,-0.684058628
21/11/2001,0.220278068
23/11/2001,0.249297512
26/11/2001,2.435316588
27/11/2001,-0.461483388
28/11/2001,-0.617603499
29/11/2001,-0.148079651
30/11/2001,1.256937163
03/12/2001,-0.326227459
04/12/2001,1.808460852
05/12/2001,1.485722045
06/12/2001,-0.956758158
07/12/2001,-0.232063557
10/12/2001,0
11/12/2001,-0.88667805
12/12/2001,-0.337371365
13/12/2001,-0.610268495
14/12/2001,-0.788652186
17/12/2001,0.296088706
18/12/2001,0.523053671
19/12/2001,0.817824326
20/12/2001,-1.261871128
21/12/2001,0.412292916
24/12/2001,0.460106834
26/12/2001,0.169637546
27/12/2001,0.802163513
28/12/2001,0.479991213
31/12/2001,-0.730573965
02/01/2002,1.882750007
03/01/2002,0.311682772
04/01/2002,0.12813556
07/01/2002,-1.012257019
08/01/2002,-0.364190331
09/01/2002,-1.29830628
10/01/2002,-0.540873423
11/01/2002,-0.240036466
14/01/2002,0.142454124
15/01/2002,0.834775278
16/01/2002,-1.381168845
17/01/2002,2.288966553
18/01/2002,-0.331180902
22/01/2002,-0.399324763
23/01/2002,1.399634902
24/01/2002,0.195736772
25/01/2002,0.044018231
28/01/2002,0.024123152
29/01/2002,-0.266722371
30/01/2002,1.419835929
31/01/2002,0.769779517
01/02/2002,-0.372231272
04/02/2002,1.16570505
05/02/2002,0.113983253
06/02/2002,-0.979077557
07/02/2002,-0.457099923
08/02/2002,-0.349233623
11/02/2002,1.271694978
12/02/2002,-0.329977792
13/02/2002,0.385599203
14/02/2002,-0.55135305
15/02/2002,-0.981769279
19/02/2002,-1.799663774
20/02/2002,0.632238352
21/02/2002,-2.089006281
22/02/2002,1.343691298
25/02/2002,1.010791627
26/02/2002,-0.124159757
27/02/2002,-1.712418733
28/02/2002,-0.23839128
01/03/2002,1.655590978
04/03/2002,0.663006517
05/03/2002,-0.601123606
06/03/2002,0.434428196
07/03/2002,0.253981918
08/03/2002,0.24115965
11/03/2002,0.362252337
12/03/2002,-0.322133627
13/03/2002,-0.232231815
14/03/2002,-0.065041627
15/03/2002,0.611298233
18/03/2002,-0.248032738
19/03/2002,0.138628474
20/03/2002,0.095165793
21/03/2002,-0.973991716
22/03/2002,-0.264009025
25/03/2002,-1.175653576
26/03/2002,0.165972821
27/03/2002,0.016235001
28/03/2002,0.35617854
01/04/2002,1.444741524
02/04/2002,-0.640643238
03/04/2002,-0.537156997
04/04/2002,1.938775854
05/04/2002,-0.225492354
08/04/2002,-0.272927497
09/04/2002,-0.749856464
10/04/2002,0.903605846
11/04/2002,0.308673431
12/04/2002,0.32322166
15/04/2002,-0.101838465
16/04/2002,1.34899769
17/04/2002,0.605077274
18/04/2002,-1.165843336
19/04/2002,-0.68715341
22/04/2002,-0.732201484
23/04/2002,-0.459761109
24/04/2002,-0.826993069
25/04/2002,0.59347125
26/04/2002,-1.938713354
29/04/2002,1.420290447
30/04/2002,0.410026235
01/05/2002,-0.398846273
02/05/2002,-0.420595659
03/05/2002,-0.27386145
06/05/2002,-1.41966782
07/05/2002,-0.276175235
08/05/2002,2.979947996
09/05/2002,-0.206843867
10/05/2002,-1.094991155
13/05/2002,0.742973161
14/05/2002,1.895625217
15/05/2002,-0.312619196
16/05/2002,-0.070524483
17/05/2002,-0.221486198
20/05/2002,-0.322704077
21/05/2002,-1.663872508
22/05/2002,0.994122396
23/05/2002,0.920997574
24/05/2002,-1.072803245
28/05/2002,-0.172355067
29/05/2002,0
30/05/2002,0.265245377
31/05/2002,-1.169290928
03/06/2002,-0.488526633
04/06/2002,-0.169410959
05/06/2002,-0.084602768
06/06/2002,-0.873498263
07/06/2002,-1.191390265
10/06/2002,0.11915414
11/06/2002,-1.686423333
12/06/2002,-0.556209415
13/06/2002,-0.861956594
14/06/2002,0.857144554
17/06/2002,0.642125596
18/06/2002,-0.572270325
19/06/2002,-4.945264403
20/06/2002,-0.011180498
21/06/2002,-0.323089105
24/06/2002,0.547226642
25/06/2002,-0.171335069
26/06/2002,-0.855548911
27/06/2002,0.724778261
28/06/2002,0.90218455
01/07/2002,-0.876586516
02/07/2002,-0.158948067
03/07/2002,0.859549583
05/07/2002,1.557708327
08/07/2002,-0.84260613
09/07/2002,-0.561080123
10/07/2002,-0.2548751
11/07/2002,1.238377874
12/07/2002,-0.923126551
15/07/2002,0.816750198
16/07/2002,-0.40849847
17/07/2002,-2.764480662
18/07/2002,-0.673834205
19/07/2002,-0.032365036
22/07/2002,-0.04757905
23/07/2002,-0.597047028
24/07/2002,0.972051603
25/07/2002,-1.0807942
26/07/2002,-0.02513929
29/07/2002,0.920278291
30/07/2002,0.51850578
31/07/2002,-0.218493267
01/08/2002,-0.645644982
02/08/2002,-0.507974046
05/08/2002,-0.704429506
06/08/2002,1.134877666
07/08/2002,0.398956235
08/08/2002,0.379839133
09/08/2002,-0.441380348
12/08/2002,-0.015378767
13/08/2002,-0.688426397
14/08/2002,0.992493072
15/08/2002,0.698831898
16/08/2002,0.31082263
19/08/2002,0.275526201
20/08/2002,-0.119958065
21/08/2002,0.388938634
22/08/2002,-0.289316635
23/08/2002,-0.496074318
26/08/2002,-0.430745265
27/08/2002,-1.563231005
28/08/2002,-0.316365584
29/08/2002,0
30/08/2002,0.123313753
03/09/2002,-1.915597458
04/09/2002,1.016009549
05/09/2002,-0.675274597
06/09/2002,0.45269913
09/09/2002,-0.023225724
10/09/2002,-0.102617914
11/09/2002,-0.11194137
12/09/2002,-0.459306491
13/09/2002,0.095297993
16/09/2002,1.12763415
17/09/2002,0.946018059
18/09/2002,0.658466482
19/09/2002,-1.3326782
20/09/2002,0.810938677
23/09/2002,-0.054500917
24/09/2002,-0.632305608
25/09/2002,0.877880167
26/09/2002,-0.677310289
27/09/2002,0.059413599
30/09/2002,-0.720875458
01/10/2002,0.032835594
02/10/2002,-1.243104154
03/10/2002,0.444845668
04/10/2002,-0.961139168
07/10/2002,-0.909272345
08/10/2002,-0.309386252
09/10/2002,-0.32876334
10/10/2002,1.968299052
11/10/2002,1.245730175
14/10/2002,0.7351569
15/10/2002,1.072210853
16/10/2002,-1.578245073
17/10/2002,-1.093085863
18/10/2002,0.533362692
21/10/2002,0.513338364
22/10/2002,0.330754106
23/10/2002,0.442596008
24/10/2002,-0.483902944
25/10/2002,1.879709838
28/10/2002,0.407736829
29/10/2002,-0.379381769
30/10/2002,1.244449853
31/10/2002,0.188863052
01/11/2002,0.646247885
04/11/2002,1.15899046
05/11/2002,0.020191404
06/11/2002,0.705767919
07/11/2002,-2.758935444
08/11/2002,-0.29355821
11/11/2002,-1.355968786
12/11/2002,0.88228547
13/11/2002,-0.088295429
14/11/2002,1.339329367
15/11/2002,-0.599165288
18/11/2002,-0.530790944
19/11/2002,-0.702615906
20/11/2002,0.481797843
21/11/2002,1.511830449
22/11/2002,-0.554618839
25/11/2002,-0.067270653
26/11/2002,-1.050344648
27/11/2002,0.558329116
29/11/2002,-0.402426103
02/12/2002,-0.620309156
03/12/2002,-0.039610493
04/12/2002,-0.416062298
05/12/2002,-0.787684507
06/12/2002,0.732040353
09/12/2002,-0.453050234
10/12/2002,1.227707307
11/12/2002,0.441969834
12/12/2002,-0.655704217
13/12/2002,-0.89905654
16/12/2002,0.132591663
17/12/2002,0.545264884
18/12/2002,-1.245524284
19/12/2002,-0.865009805
20/12/2002,-0.139018792
23/12/2002,0.868990322
24/12/2002,-0.312603124
26/12/2002,0.10181266
27/12/2002,-0.951660738
30/12/2002,0.027306092
31/12/2002,0.774772445
02/01/2003,1.349840244
03/01/2003,0.258176631
06/01/2003,0
07/01/2003,-0.151467994
08/01/2003,-0.993522191
09/01/2003,0.415653835
10/01/2003,0.132139297
13/01/2003,-0.322753955
14/01/2003,-0.07581962
15/01/2003,-0.750861746
16/01/2003,0.785784327
17/01/2003,-2.147201403
21/01/2003,-0.280912658
22/01/2003,-0.525098417
23/01/2003,1.107255982
24/01/2003,-1.339760881
27/01/2003,1.098235052
28/01/2003,1.379364249
29/01/2003,0.953192048
30/01/2003,-1.617535245
31/01/2003,0.095881822
03/02/2003,0.774329275
04/02/2003,-0.151810476
05/02/2003,-0.41301864
06/02/2003,-0.057632919
07/02/2003,-0.892788797
10/02/2003,0.622118481
11/02/2003,0
12/02/2003,0.137700438
13/02/2003,0.555200932
14/02/2003,0.485633061
18/02/2003,2.250604159
19/02/2003,-1.288607572
20/02/2003,-0.230557683
21/02/2003,0.704179208
24/02/2003,-0.795340724
25/02/2003,0.843779773
26/02/2003,-1.547093339
27/02/2003,0.96304768
28/02/2003,0.380104598
03/03/2003,-0.959854271
04/03/2003,-0.234940739
05/03/2003,0.16729975
06/03/2003,-0.180311403
07/03/2003,-0.097279891
10/03/2003,-0.568687441
11/03/2003,-0.511474496
12/03/2003,-0.037618254
13/03/2003,2.034152083
14/03/2003,0.202023574
17/03/2003,0.822225173
18/03/2003,-0.034873997
19/03/2003,-0.191970264
20/03/2003,-0.165386921
21/03/2003,0.400541113
24/03/2003,-2.974949873
25/03/2003,0.656299255
26/03/2003,-0.512186804
27/03/2003,0.30067001
28/03/2003,0.316004874
31/03/2003,-1.812942291
01/04/2003,0.074058196
02/04/2003,1.752644722
03/04/2003,-0.481365436
04/04/2003,-0.178173947
07/04/2003,0.306448193
08/04/2003,-0.161538778
09/04/2003,-1.144735686
10/04/2003,0.747854028
11/04/2003,-4.999032433
14/04/2003,1.047863377
15/04/2003,-0.495754366
16/04/2003,-0.407332528
17/04/2003,-0.3426174
21/04/2003,0.060240023
22/04/2003,1.201997958
23/04/2003,0.208947213
24/04/2003,-0.448787173
25/04/2003,-0.301060723
28/04/2003,1.775057186
29/04/2003,0.590097601
30/04/2003,0.472590133
01/05/2003,0.42181743
02/05/2003,0.279395401
05/05/2003,5.095928178
06/05/2003,2.476867598
07/05/2003,0.201902896
08/05/2003,0.498076594
09/05/2003,0.43072632
12/05/2003,0.381272042
13/05/2003,0.166822009
14/05/2003,-0.196217668
15/05/2003,0.315325567
16/05/2003,0.128476434
19/05/2003,-1.416450078
20/05/2003,-0.586177883
21/05/2003,0.115894034
22/05/2003,0.808126467
23/05/2003,0.161021675
27/05/2003,1.195085871
28/05/2003,-1.198414989
29/05/2003,-0.343167307
30/05/2003,-0.303104884
02/06/2003,-1.087078755
03/06/2003,-0.293900759
04/06/2003,0.641244322
05/06/2003,0.088199691
06/06/2003,-1.193823579
09/06/2003,-0.840693913
10/06/2003,0.891487266
11/06/2003,0.589052778
12/06/2003,0.696220546
13/06/2003,-0.761544998
16/06/2003,1.806088223
17/06/2003,-0.144180695
18/06/2003,1.77172237
19/06/2003,0.032346097
20/06/2003,0.106421118
23/06/2003,-0.270698793
24/06/2003,-0.581025377
25/06/2003,0.652629032
26/06/2003,0.41762203
27/06/2003,-1.226666862
30/06/2003,0.677141123
01/07/2003,0.061093942
02/07/2003,0.399181431
03/07/2003,-0.323113022
07/07/2003,1.771669559
08/07/2003,1.069326142
09/07/2003,-0.977390931
10/07/2003,-0.583341856
11/07/2003,0.51622608
14/07/2003,0.09715709
15/07/2003,-0.617496402
16/07/2003,0.559665051
17/07/2003,2.186851891
18/07/2003,-0.068701104
21/07/2003,-0.473054003
22/07/2003,0.371166303
23/07/2003,-0.020358159
24/07/2003,-0.632115674
25/07/2003,2.302782429
28/07/2003,-0.994417767
29/07/2003,-0.477739354
30/07/2003,-0.815962467
31/07/2003,1.445754623
01/08/2003,-0.56660646
04/08/2003,0.788137716
05/08/2003,-1.356165816
06/08/2003,-1.166671104
07/08/2003,0.44284321
08/08/2003,-0.443122155
11/08/2003,0.031850437
12/08/2003,0.069986437
13/08/2003,0.906303885
14/08/2003,-0.382449711
15/08/2003,-0.500376611
18/08/2003,1.233685903
19/08/2003,-0.035878479
20/08/2003,1.338953748
21/08/2003,1.155373005
22/08/2003,-1.300424928
25/08/2003,-0.030567866
26/08/2003,0.318219223
27/08/2003,0.748143344
28/08/2003,1.19365679
29/08/2003,0.643586807
02/09/2003,0.364756104
03/09/2003,0.157952521
04/09/2003,-0.204653087
05/09/2003,-0.609236608
08/09/2003,0.448974045
09/09/2003,-0.718104511
10/09/2003,-0.371989229
11/09/2003,0.774839979
12/09/2003,1.066525677
15/09/2003,-1.684147047
16/09/2003,0.253741013
17/09/2003,-0.432903091
18/09/2003,1.405037149
19/09/2003,-0.499696899
22/09/2003,-0.870708004
23/09/2003,0.596710377
24/09/2003,-1.950853667
25/09/2003,-1.396298164
26/09/2003,0.377359822
29/09/2003,0.906174119
30/09/2003,-0.836106878
01/10/2003,0.100126444
02/10/2003,-0.343834145
03/10/2003,1.79962264
06/10/2003,0.803333941
07/10/2003,1.184945577
08/10/2003,-0.187648152
09/10/2003,0.489050872
10/10/2003,0.292746297
13/10/2003,0.885428642
14/10/2003,0.252786829
15/10/2003,0.359748755
16/10/2003,-2.251849885
17/10/2003,-0.61643628
20/10/2003,0.585805123
21/10/2003,-0.050125908
22/10/2003,-0.582969016
23/10/2003,0.325396174
24/10/2003,-0.583070655
27/10/2003,0
28/10/2003,1.849233319
29/10/2003,-0.04169936
30/10/2003,-0.928748019
31/10/2003,-0.304924013
03/11/2003,0.418131737
04/11/2003,-0.400863548
05/11/2003,0.209301791
06/11/2003,0.16739171
07/11/2003,-1.257220088
10/11/2003,-1.159463711
11/11/2003,-0.667818753
12/11/2003,1.455791466
13/11/2003,0.147061706
14/11/2003,-1.729516526
17/11/2003,-0.535664939
18/11/2003,-1.224517386
19/11/2003,0.016098871
20/11/2003,-0.07110727
21/11/2003,-0.195073443
24/11/2003,1.788041159
25/11/2003,-0.830846091
26/11/2003,0.070099259
28/11/2003,0.362053553
01/12/2003,1.559803824
02/12/2003,-0.291640825
03/12/2003,-0.940627396
04/12/2003,0.215902296
05/12/2003,-0.580060559
08/12/2003,0.393620845
09/12/2003,-1.24325488
10/12/2003,-0.136963091
11/12/2003,1.726438932
12/12/2003,-0.575255732
15/12/2003,-1.34871811
16/12/2003,-0.087493728
17/12/2003,-0.461381504
18/12/2003,0.318248335
19/12/2003,-0.716149184
22/12/2003,0.3163451
23/12/2003,-0.088722438
24/12/2003,1.430896609
26/12/2003,0.781702453
29/12/2003,0.758394896
30/12/2003,0.260870397
31/12/2003,0.190970066
02/01/2004,-0.205100953
05/01/2004,2.134227761
06/01/2004,-0.157033971
07/01/2004,1.049455253
08/01/2004,1.497482673
09/01/2004,-0.624392983
12/01/2004,1.267692763
13/01/2004,0.612594794
14/01/2004,0.125788589
15/01/2004,-2.364724591
16/01/2004,-0.190949613
20/01/2004,0.015826428
21/01/2004,-0.209775619
22/01/2004,-0.815040854
23/01/2004,0.708863888
26/01/2004,0.822097767
27/01/2004,0.106470851
28/01/2004,-1.072867549
29/01/2004,0.299017715
30/01/2004,-0.236868638
02/02/2004,-0.509346785
03/02/2004,-0.131494178
04/02/2004,-1.129472857
05/02/2004,1.422414166
06/02/2004,0.582566405
09/02/2004,-0.081133886
10/02/2004,0.682289307
11/02/2004,1.763304906
12/02/2004,-0.129032874
13/02/2004,-1.483775569
17/02/2004,0.296736381
18/02/2004,0.195004258
19/02/2004,-1.678671348
20/02/2004,-0.133388914
23/02/2004,-0.43623188
24/02/2004,0.366284168
25/02/2004,1.001110435
26/02/2004,0.483356476
27/02/2004,1.858966923
